Flink 中只有一个作业,用到:
com.github.yck.datasource.WebLogDataGenerator
com.github.yck.datasource.DataGenerateStrategy
com.github.yck.simpletask.StatelessTask
三个类
 num     #instances         #bytes  class name
 229:             1           1040  [Ljava.lang.Long;
 230:             1           1040  [Ljava.lang.Short;
 231:            65           1040  scala.Some
 232:            43           1032  java.io.ObjectStreamClass$ClassDataSlot
 233:            41           1024  [Lorg.apache.flink.configuration.description.InlineElement;
 234:            32           1024  scala.collection.immutable.RedBlackTree$BlackTree
 235:            14           1008  java.util.regex.Pattern
 236:            31            992  java.io.File
 237:            31            992  java.util.logging.LogManager$LogNode
 238:            31            992  javax.management.MBeanParameterInfo
 239:            41            984  java.util.Collections$UnmodifiableRandomAccessList
 240:            41            984  java.util.regex.Pattern$GroupHead
 241:            41            984  java.util.regex.Pattern$GroupTail
 242:            24            960  akka.actor.Address
 243:            20            960  akka.actor.RepointableActorRef
 244:            30            960  java.security.Provider$EngineDescription
 245:            40            960  org.apache.flink.shaded.netty4.io.netty.util.internal.ThreadExecutorMap$1
 246:            24            960  sun.nio.cs.UTF_8$Decoder
 247:            29            952  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 248:            55            952  [Lsun.reflect.generics.tree.FormalTypeParameter;
 249:            39            936  java.util.ArrayDeque
 250:            38            912  akka.dispatch.UnboundedMailbox$MessageQueue
 251:            38            912  java.time.Duration
 252:             9            896  [D
 253:            11            880  [Ljava.util.concurrent.RunnableScheduledFuture;
 254:            10            880  akka.dispatch.Dispatcher
 255:            22            880  javax.management.MBeanOperationInfo
 256:            22            880  sun.util.locale.BaseLocale$Key
 257:            18            864  java.util.concurrent.ThreadPoolExecutor$Worker
 258:            12            864  sun.nio.ch.EPollArrayWrapper
 259:            12            864  sun.nio.ch.EPollSelectorImpl
 260:            15            840  javax.management.openmbean.ArrayType
 261:            26            832  java.lang.reflect.WeakCache$CacheValue
 262:            26            832  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 263:            34            816  java.lang.ProcessEnvironment$Value
 264:            34            816  java.lang.ProcessEnvironment$Variable
 265:            51            816  java.lang.ThreadLocal
